code_April_2020,previous_practice_codes,fm_1000_code_2020,lm_1000_code_2020,fm_1000_previous_codes,lm_1000_previous_codes
E84033,E84033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84036,E84036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84039,E84039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84040,E84040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84042,E84042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84044,E84044,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84048,E84048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84049,E84049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84051,E84051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84053,E84053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84056,E84056,01/04/2013,01/07/2016,01/04/2013,01/07/2016
E84057,E84057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84058,E84058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84059,E84059,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84061,E84061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84062,E84062,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84063,E84063,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84039,E84064,01/04/2013,01/04/2022,01/04/2013,01/07/2015
E84066,E84066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84067,E84067,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84068,E84068,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84069,E84069,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84070,E84070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84074,E84074,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84075,E84075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84076,E84076,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84077,E84077,01/04/2013,01/07/2019,01/04/2013,01/07/2019
E84078,E84078,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84080,E84080,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84083,E84083,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84084,E84084,01/04/2013,01/01/2017,01/04/2013,01/01/2017
E84086,E84086,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84601,E84601,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84617,E84617,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84620,E84620,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84624,E84624,01/04/2013,01/11/2019,01/04/2013,01/11/2019
E84626,E84626,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84635,E84635,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84637,E84637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84638,E84638,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84645,E84645,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84646,E84646,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84647,E84647,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84653,E84653,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84656,E84656,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84657,E84657,01/04/2013,01/09/2017,01/04/2013,01/09/2017
E84658,E84658,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84078,E84661,01/04/2013,01/04/2022,01/04/2013,01/07/2015
E84663,E84663,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84665,E84665,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84667,E84667,01/04/2013,01/12/2019,01/04/2013,01/12/2019
E84066,E84669,01/04/2013,01/04/2022,01/04/2013,01/07/2018
Y05080,E84670,01/10/2015,01/04/2022,01/04/2013,01/04/2015
E84674,E84674,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84676,E84676,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84678,E84678,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84680,E84680,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84681,E84681,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84684,E84684,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84685,E84685,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84066,E84690,01/04/2013,01/04/2022,01/04/2013,01/07/2018
E84693,E84693,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84696,E84696,01/04/2013,01/07/2020,01/04/2013,01/07/2020
E84699,E84699,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84701,E84701,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84702,E84702,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84704,E84704,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84066,E84705,01/04/2013,01/04/2022,01/04/2013,01/08/2018
E84015,E84706,01/04/2013,01/04/2022,01/04/2013,01/07/2016
E84708,E84708,01/04/2013,01/07/2016,01/04/2013,01/07/2016
E84709,E84709,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E84713,E84713,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85001,E85001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85003,E85003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85004,E85004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85005,E85005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85006,E85006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85007,E85007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85008,E85008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85012,E85012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85013,E85013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85014,E85014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85015,E85015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85016,E85016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85018,E85018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85019,E85019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85020,E85020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85021,E85021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85023,E85023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85024,E85024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85025,E85025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85026,E85026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85028,E85028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85029,E85029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85030,E85030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85032,E85032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85033,E85033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85034,E85034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85035,E85035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85038,E85038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85040,E85040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85041,E85041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85042,E85042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85015,E85044,01/04/2013,01/04/2022,01/04/2013,01/06/2017
E85045,E85045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85046,E85046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85048,E85048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85049,E85049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85050,E85050,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85051,E85051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85052,E85052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85053,E85053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85054,E85054,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85055,E85055,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85056,E85056,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85057,E85057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85058,E85058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85059,E85059,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85060,E85060,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85061,E85061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85062,E85062,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85064,E85064,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85066,E85066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85069,E85069,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85071,E85071,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85074,E85074,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85075,E85075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85077,E85077,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85083,E85083,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85088,E85088,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85090,E85090,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85091,E85091,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85096,E85096,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85098,E85098,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85099,E85099,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85103,E85103,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85105,E85105,01/04/2013,01/01/2021,01/04/2013,01/01/2021
E85107,E85107,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85108,E85108,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85109,E85109,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85128,E85110,01/04/2013,01/04/2022,01/04/2013,01/02/2018
E85111,E85111,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85112,E85112,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85113,E85113,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85114,E85114,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85115,E85115,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85116,E85116,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85007,E85117,01/04/2013,01/04/2022,01/04/2013,01/01/2018
E85118,E85118,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85119,E85119,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85120,E85120,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85121,E85121,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85122,E85122,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85123,E85123,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85124,E85124,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85125,E85125,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85126,E85126,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85127,E85127,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85128,E85128,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85129,E85129,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85130,E85130,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85600,E85600,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85605,E85605,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85617,E85617,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85623,E85623,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85624,E85624,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85625,E85625,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85628,E85628,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85630,E85630,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85633,E85633,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85635,E85635,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85636,E85636,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85640,E85640,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85643,E85643,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85649,E85649,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85656,E85656,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85657,E85657,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85658,E85658,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85659,E85659,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85663,E85663,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85672,E85672,01/04/2013,01/10/2020,01/04/2013,01/10/2020
Y02906,E85673,01/04/2013,01/04/2022,01/04/2013,01/10/2016
E85677,E85677,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85680,E85680,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85681,E85681,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85682,E85682,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85683,E85683,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85685,E85685,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85744,E85686,01/04/2013,01/04/2022,01/04/2013,01/08/2017
E85687,E85687,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85692,E85692,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85693,E85693,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85694,E85694,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85696,E85696,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85697,E85697,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85699,E85699,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85700,E85700,01/04/2013,01/01/2019,01/04/2013,01/01/2019
E85705,E85705,01/04/2013,01/01/2016,01/04/2013,01/01/2016
E85707,E85707,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85708,E85708,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85712,E85712,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85713,E85713,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85714,E85714,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85715,E85715,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85716,E85716,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85718,E85718,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85719,E85719,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85721,E85721,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85723,E85723,01/04/2013,01/03/2021,01/04/2013,01/03/2021
E85724,E85724,01/04/2013,01/10/2015,01/04/2013,01/10/2015
E85725,E85725,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85726,E85726,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85739,E85727,01/04/2013,01/04/2022,01/04/2013,01/09/2017
E85111,E85728,01/04/2013,01/04/2022,01/04/2013,01/07/2016
E85051,E85731,01/04/2013,01/04/2022,01/04/2013,01/07/2015
E85732,E85732,01/04/2013,01/07/2017,01/04/2013,01/07/2017
E85103,E85733,01/04/2013,01/04/2022,01/04/2013,01/07/2018
E85734,E85734,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85735,E85735,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85736,E85736,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85739,E85739,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85740,E85740,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85743,E85743,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85744,E85744,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85745,E85745,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85746,E85746,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85748,E85748,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85750,E85750,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E85755,E85755,01/04/2013,01/04/2016,01/04/2013,01/04/2016
E86001,E86001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86003,E86003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86004,E86004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86005,E86005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86006,E86006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86007,E86007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86009,E86009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86010,E86010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86011,E86011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86012,E86012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86014,E86014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86015,E86015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86016,E86016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86017,E86017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86018,E86018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86019,E86019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86020,E86020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86022,E86022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86024,E86024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86026,E86026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86027,E86027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86028,E86028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86029,E86029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86030,E86030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86033,E86033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86034,E86034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86036,E86036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86038,E86038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86041,E86041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86042,E86042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86605,E86605,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86609,E86609,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86610,E86610,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86612,E86612,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86615,E86615,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86618,E86618,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86619,E86619,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86620,E86620,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86637,E86622,01/04/2013,01/04/2022,01/04/2013,01/04/2015
E86625,E86625,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86626,E86626,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86629,E86629,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86632,E86632,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86618,E86635,01/04/2013,01/04/2022,01/04/2013,01/07/2015
E86637,E86637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E86640,E86640,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87002,E87002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87003,E87003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87004,E87004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87005,E87005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87006,E87006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87007,E87007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87008,E87008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87009,E87009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87010,E87010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87011,E87011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87013,E87013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87034,E87014,01/04/2013,01/04/2022,01/04/2013,01/10/2014
E87016,E87016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87017,E87017,01/04/2013,01/07/2017,01/04/2013,01/07/2017
E87021,E87021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87024,E87024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87026,E87026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87029,E87029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87034,E87034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87037,E87037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87038,E87038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87043,E87043,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87045,E87045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87046,E87046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87047,E87047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87048,E87048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87050,E87050,01/04/2013,01/11/2020,01/04/2013,01/11/2020
E87052,E87052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87750,E87055,01/04/2013,01/04/2022,01/04/2013,01/10/2015
E87057,E87057,01/04/2013,01/02/2018,01/04/2013,01/02/2018
E87061,E87061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87063,E87063,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87065,E87065,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87066,E87066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87067,E87067,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87069,E87069,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87070,E87070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87738,E87071,01/04/2013,01/04/2022,01/04/2013,01/04/2017
E87609,E87609,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87630,E87630,01/04/2013,01/04/2015,01/04/2013,01/04/2015
E87637,E87637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87648,E87648,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87649,E87649,01/04/2013,01/04/2016,01/04/2013,01/04/2016
E87663,E87663,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87665,E87665,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87670,E87670,01/04/2013,01/04/2015,01/04/2013,01/04/2015
E87677,E87677,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87681,E87681,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87637,E87682,01/04/2013,01/04/2022,01/04/2013,01/09/2018
E87067,E87699,01/04/2013,01/04/2022,01/04/2013,01/04/2015
E87701,E87701,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87702,E87702,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87738,E87705,01/04/2013,01/04/2022,01/04/2013,01/10/2015
E87706,E87706,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87714,E87714,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87715,E87715,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87717,E87717,01/04/2013,01/10/2014,01/04/2013,01/10/2014
E87738,E87718,01/04/2013,01/04/2022,01/04/2013,01/10/2015
E87720,E87720,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87722,E87722,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87637,E87723,01/04/2013,01/04/2022,01/04/2013,01/10/2015
E87067,E87727,01/04/2013,01/04/2022,01/04/2013,01/10/2015
E87067,E87728,01/04/2013,01/04/2022,01/04/2013,01/10/2013
E87733,E87733,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87735,E87735,01/04/2013,01/03/2021,01/04/2013,01/03/2021
E87737,E87737,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87738,E87738,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87739,E87739,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87740,E87740,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87741,E87741,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87742,E87742,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87745,E87745,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87746,E87746,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87750,E87750,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87751,E87751,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87753,E87753,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87754,E87754,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87755,E87755,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87756,E87756,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87762,E87762,01/04/2013,01/04/2022,01/04/2013,01/04/2022
E87768,E87768,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81001,F81001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81003,F81003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81004,F81004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81042,F81005,01/04/2013,01/04/2022,01/04/2013,01/04/2015
F81006,F81006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81007,F81007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81009,F81009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81010,F81010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81011,F81011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81012,F81012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81013,F81013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81014,F81014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81015,F81015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81016,F81016,01/04/2013,01/04/2020,01/04/2013,01/04/2020
F81017,F81017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81741,F81018,01/04/2013,01/04/2022,01/04/2013,01/12/2018
F81019,F81019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81020,F81020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81021,F81021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81022,F81022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81023,F81023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81024,F81024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81025,F81025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81026,F81026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81027,F81027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81028,F81028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81029,F81029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81030,F81030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81031,F81031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81032,F81032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
F81732,F81033,01/04/2013,01/04/2022,01/04/2013,01/07/2015
